Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Mulher,73,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,67,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Antigo primário (elementar),4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,41,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.500,00 "," R$  1.500,00 ",4,Superior - graduação,4,16 anos ou mais de estudo,Conta-própria,Conta-própria," R$  600,00 "
Mulher,18,Parda,Sim,Segunda (o),Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Não aplicável,3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Empregado no setor público sem carteira de trabalho assinada," R$  1.045,00 "
Mulher,47,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",4,Superior - graduação,4,14 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  2.090,00 "
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,53,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,13,Parda,Sim,Oitava (o) ,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,44,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  3.000,00 "," R$  3.000,00 ",1,Regular do ensino fundamental ou do 1º grau,1,8 anos de estudo,Conta-própria,Conta-própria," R$  1.500,00 "
Mulher,58,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,18,Parda,Sim,Não aplicável,Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Preta,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,41,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a)," R$  700,00 "," R$  700,00 ",7,Regular do ensino médio óu do 2º grau,7,12 anos de estudo,Conta-própria,Conta-própria, R$  -   
Homem,16,Parda,Sim,Segunda (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,7,Não aplicável,7,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,19,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,7,Regular do ensino médio óu do 2º grau,7,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,3,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,7,Não aplicável,7,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,62,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,32,Parda,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,46,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,23,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,47,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,66,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Antigo primário (elementar),2,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Regular do ensino fundamental ou do 1º grau,6,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Neto(a)," R$  200,00 "," R$  200,00 ",6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada, R$  -   
Mulher,31,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.100,00 "
Mulher,10,Parda,Sim,Quinta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,31,Parda,Sim,Não aplicável,Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,7,Regular do ensino médio óu do 2º grau,7,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,19,Parda,Sim,Terceira (o),Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Não aplicável,3,13 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Mulher,65,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  200,00 "," R$  200,00 ",2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Conta-própria,Conta-própria," R$  200,00 "
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,11,Não aplicável,11,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  500,00 "," R$  500,00 ",2,Regular do ensino fundamental ou do 1º grau,2,5 anos de estudo,Empregador,Empregador," R$  300,00 "
Mulher,51,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.349,00 "," R$  1.349,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.349,00 "
Homem,28,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.800,00 "," R$  2.800,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  2.800,00 "
Homem,23,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  600,00 "," R$  600,00 ",6,Regular do ensino médio óu do 2º grau,6,10 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  700,00 "
Mulher,22,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,73,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,58,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  300,00 "," R$  300,00 ",1,Regular do ensino fundamental ou do 1º grau,1,6 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  300,00 "
Homem,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,11,Preta,Sim,Quinta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,65,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,Antigo primário (elementar),2,5 anos de estudo,Conta-própria,Conta-própria, R$  -   
Homem,40,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  800,00 "," R$  800,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  800,00 "
Mulher,34,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,50,Parda,Sim,Não aplicável,Não aplicável,Sim,Outro parente," R$  2.000,00 "," R$  2.000,00 ",5,Superior - graduação,5,16 anos ou mais de estudo,Conta-própria,Conta-própria," R$  2.000,00 "
Mulher,51,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",1,Regular do ensino fundamental ou do 1º grau,1,6 anos de estudo,Trabalhador doméstico,Trabalhador doméstico com carteira de trabalho assinada," R$  1.045,00 "
Homem,24,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,7,Branca,Não,Primeira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,44,Preta,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,53,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,57,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,3,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,62,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Empregador,Empregador," R$  1.000,00 "
Mulher,41,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,35,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.400,00 "," R$  1.400,00 ",1,Superior - graduação,1,13 anos de estudo,Conta-própria,Conta-própria," R$  1.400,00 "
Mulher,31,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Sim,Não aplicável,Não aplicável,Sim,Irmão ou irmã," R$  1.200,00 "," R$  1.200,00 ",2,Regular do ensino fundamental ou do 1º grau,2,8 anos de estudo,Conta-própria,Conta-própria," R$  650,00 "
Mulher,59,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Preta,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  600,00 "," R$  600,00 ",6,Regular do ensino fundamental ou do 1º grau,6,2 anos de estudo,Conta-própria,Conta-própria," R$  600,00 "
Mulher,19,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  150,00 "," R$  150,00 ",6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Trabalhador doméstico,Trabalhador doméstico sem carteira de trabalho assinada," R$  150,00 "
Mulher,29,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,43,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,8,Branca,Sim,Terceira (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,33,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Trabalhador doméstico,Trabalhador doméstico com carteira de trabalho assinada," R$  1.045,00 "
Mulher,52,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,45,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  480,00 "," R$  480,00 ",2,Regular do ensino fundamental ou do 1º grau,2,5 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  480,00 "
Mulher,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,5,Parda,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,24,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Homem,54,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,36,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  4.180,00 "," R$  4.180,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Conta-própria,Conta-própria," R$  4.180,00 "
Homem,18,Branca,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,38,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  1.045,00 "," R$  1.045,00 ",2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Mulher,9,Branca,Sim,Quarta (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,3,Não aplicável,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,2,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,17,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,7,Branca,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,46,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  6.000,00 "," R$  6.000,00 ",1,Regular do ensino médio óu do 2º grau,1,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  7.500,00 "
Homem,35,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,32,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.000,00 "," R$  1.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.000,00 "
Mulher,33,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,18,Branca,Sim,Quarta (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,94,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Classe de alfabetização - CA,1,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino médio óu do 2º grau,1,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,0,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,55,Branca,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Superior - graduação,3,15 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.045,00 "
Homem,68,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,33,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,19,Branca,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,14,Parda,Sim,Nona (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,7,Não aplicável,7,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,44,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Superior - graduação,3,14 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,22,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,22,Parda,Sim,Não aplicável,Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,13,Branca,Sim,Nona (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,62,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,"Antigo científico, clássico, etc. (médio 2º ciclo)",4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,62,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  8.000,00 "," R$  8.000,00 ",3,Superior - graduação,3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  7.000,00 "
Mulher,7,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,3,Não aplicável,3,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,36,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,45,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,50,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,56,Parda,Não,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  200,00 "," R$  200,00 ",4,Regular do ensino fundamental ou do 1º grau,4,3 anos de estudo,Conta-própria,Conta-própria," R$  200,00 "
Mulher,30,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  400,00 "," R$  400,00 ",6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Conta-própria,Conta-própria," R$  400,00 "
Homem,40,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  350,00 "," R$  350,00 ",2,Regular do ensino médio óu do 2º grau,2,10 anos de estudo,Conta-própria,Conta-própria," R$  160,00 "
Homem,60,Preta,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,53,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,66,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,34,Preta,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  200,00 "," R$  200,00 ",2,Regular do ensino médio óu do 2º grau,2,11 anos de estudo,Conta-própria,Conta-própria," R$  300,00 "
Mulher,66,Preta,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Parda,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  120,00 "," R$  120,00 ",4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Conta-própria,Conta-própria, R$  -   
Mulher,32,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,31,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
